O_250,D_250,volume
1,1,629428.1742
1,2,243924.9307
1,3,35911.1653
1,4,39994.0366
1,5,20656.1961
1,6,34560.295
1,7,20654.9696
1,8,153241.777
1,9,23978.242
1,10,20105.7908
1,11,32165.4415
1,12,56916.752
1,13,73185.5596
1,14,75412.4495
1,15,11464.3093
1,16,28927.3229
1,17,15851.36
1,18,15105.1118
1,19,47230.038
1,20,17946.1181
1,21,15333.4931
1,22,51972.8462
1,23,73774.4563
1,24,25312.5334
1,25,16403.4592
1,26,444.8884
1,27,279.7752
1,28,472.7442
1,29,348.5618
1,30,1130.3821
1,31,591.8088
1,32,7891.909
1,33,495.6009
1,34,1378.4221
1,35,839.1534
1,36,644.2488
1,37,4738.4188
1,38,672.8742
1,39,354.2128
1,40,782.7011
1,41,803.0267
1,42,696.3255
1,43,1433.471
1,44,681.3101
1,45,549.2555
1,46,1120.4465
1,47,1458.2721
1,48,2263.4367
1,49,1358.464
1,50,3634.1283
1,51,1648.1297
1,52,4018.3442
1,53,4469.6179
1,54,8768.3095
1,55,7640.1063
1,56,4721.4874
1,57,10003.0131
1,58,2153.2751
1,59,518.2837
1,60,835.7908
1,61,1553.488
1,62,768.1873
1,63,2024.5853
1,64,2075.4116
1,65,1102.3181
1,66,1714.3553
1,67,3256.4158
1,68,3432.807
1,69,1273.2223
1,70,1639.3603
1,71,4552.4493
1,72,3274.26
1,73,3541.3249
1,74,3725.8378
1,75,7669.8469
1,76,8760.8265
1,77,9673.0352
1,78,13784.0751
1,79,7954.7518
1,80,10817.373
1,81,39281.3711
1,82,26579.8371
1,83,8943.6096
1,84,18209.3673
1,85,25457.4047
1,86,11069.5807
1,87,15733.8251
1,88,3545.8038
1,89,7002.4756
1,90,18865.5349
1,91,42612.0513
1,92,19199.2789
1,93,8622.84
1,94,5619.5154
1,95,13931.7005
1,96,30825.6676
1,97,6140.9134
1,98,14362.5622
1,99,10529.2271
1,100,5950.9646
1,101,9886.0716
1,102,10179.1813
1,103,13812.4333
1,104,8554.08
1,105,20778.0827
1,106,11298.744
1,107,6747.3882
1,108,18183.3064
1,109,34480.0666
1,110,13140.5157
1,111,23052.0675
1,112,10563.605
1,113,3836.5018
1,114,2103.0759
1,115,3682.4133
1,116,3285.684
1,117,8822.5494
1,118,7661.7716
1,119,4000.6023
1,120,1144.6217
1,121,760.1302
1,122,1536.5879
1,123,951.2401
1,124,1722.5717
1,125,991.7756
1,126,745.7184
1,127,969.7812
1,128,863.8317
1,129,1133.0366
1,130,570.2839
1,131,481.2037
1,132,776.1847
1,133,654.8315
1,134,755.2868
1,135,2653.2913
1,136,6954.6895
1,137,4026.8924
1,138,3232.6318
1,139,6652.5792
1,140,3874.9287
1,141,729.2084
1,142,960.7115
1,143,638.4859
1,144,805.3114
1,145,3375.3267
1,146,904.006
1,147,4813.4996
1,148,1034.1741
1,149,7308.9572
1,150,11778.7607
1,151,2872.8199
1,152,1915.6069
1,153,11498.1604
1,154,5472.1408
1,155,1975.4137
1,156,477.2736
1,157,1080.8554
1,158,864.5399
1,159,699.8239
1,160,713.829
1,161,2145.5232
1,162,2077.5093
1,163,1737.0812
1,164,7000.7352
1,165,988.4971
1,166,810.7157
1,167,1616.8045
1,168,1400.393
1,169,618.2292
1,170,453.7979
1,171,404.6043
1,172,834.0216
1,173,184.275
1,174,235.3428
1,175,150.4468
1,176,218.12
1,177,178.1323
1,178,374.7605
1,179,330.4806
1,180,2276.7726
1,181,3127.3819
1,182,2167.2511
1,183,1073.9285
1,184,2630.4178
1,185,430.3877
1,186,278.2256
1,187,198.884
1,188,711.9499
1,189,369.0811
1,190,557.2426
1,191,400.7288
1,192,315.3175
1,193,696.1731
1,194,837.4083
1,195,705.4963
1,196,248.3404
1,197,508.914
1,198,434.5843
1,199,510.8248
1,200,347.9283
1,201,374.6881
1,202,4321.6577
1,203,3284.7744
1,204,4802.2658
1,205,2646.8181
1,206,3597.588
1,207,9626.5258
1,208,2739.6102
1,209,1918.978
1,210,1710.8978
1,211,1674.9643
1,212,2966.2017
1,213,376.4861
1,214,777.8857
1,215,566.4696
1,216,303.7349
1,217,699.9836
1,218,545.6677
1,219,724.7766
1,220,800.9658
1,221,2355.3248
1,222,822.7001
1,223,770.1101
1,224,1269.2575
1,225,0
1,226,1785.4676
1,227,2256.8484
1,228,1299.7108
1,229,1004.7059
1,230,761.3597
1,231,3225.821
1,232,1096.0463
1,233,1106.7272
1,234,2828.5101
1,235,700.5315
1,236,2694.6892
1,237,2805.7032
1,238,222.2347
1,239,825.2958
1,240,630.6233
1,241,467.8519
1,242,484.3343
1,243,350.7533
1,244,344.9996
1,245,337.4232
1,246,618.669
1,247,334.9979
1,248,0
1,249,0
1,250,4448.4673
2,1,328095.6763
2,2,937586.651
2,3,120127.4671
2,4,198076.3568
2,5,60641.2573
2,6,90151.4301
2,7,47897.0157
2,8,90889.6024
2,9,33975.7095
2,10,29824.0309
2,11,42209.2912
2,12,43115.3621
2,13,56448.9788
2,14,147496.0905
2,15,21354.9077
2,16,43705.1235
2,17,39053.6146
2,18,28050.1976
2,19,92700.0907
2,20,35247.8329
2,21,29916.0787
2,22,101652.9329
2,23,231912.1421
2,24,68559.5088
2,25,27156.0127
2,26,938.4179
2,27,605.1748
2,28,1014.8238
2,29,743.6496
2,30,2378.4301
2,31,1295.4597
2,32,14235.1049
2,33,1032.9063
2,34,2922.0768
2,35,1765.7905
2,36,1403.3896
2,37,10255.4739
2,38,1429.6668
2,39,816.4461
2,40,1668.498
2,41,1622.4268
2,42,1503.3463
2,43,3038.2589
2,44,1449.0726
2,45,1153.8856
2,46,2483.6029
2,47,3098.7199
2,48,4592.7638
2,49,2781.23
2,50,7148.9467
2,51,3110.7608
2,52,7870.4427
2,53,8492.9377
2,54,16453.6256
2,55,13857.0989
2,56,8136.2099
2,57,17121.3868
2,58,3551.8119
2,59,930.9259
2,60,1564.1103
2,61,3018.1664
2,62,1466.0588
2,63,3934.5562
2,64,3925.6191
2,65,2798.499
2,66,4343.1362
2,67,8326.5412
2,68,8406.0643
2,69,3366.0094
2,70,3464.2545
2,71,9756.36
2,72,6474.5736
2,73,7229.3532
2,74,7462.7534
2,75,14253.0885
2,76,16053.7866
2,77,17914.6382
2,78,25404.6467
2,79,17457.0926
2,80,22255.7721
2,81,76923.5208
2,82,37994.2344
2,83,17600.3552
2,84,35209.3611
2,85,44331.8826
2,86,18842.0821
2,87,29050.0628
2,88,5866.9843
2,89,11515.702
2,90,32288.3182
2,91,47342.6982
2,92,27578.059
2,93,12893.8167
2,94,11545.6903
2,95,22230.8082
2,96,48423.7439
2,97,11235.2088
2,98,25793.7603
2,99,19717.3401
2,100,11275.3116
2,101,16338.8802
2,102,18712.8237
2,103,25613.3877
2,104,16316.26
2,105,32162.3939
2,106,21168.1344
2,107,12490.6245
2,108,29528.669
2,109,62313.9163
2,110,27174.6089
2,111,22577.5231
2,112,17956.6038
2,113,6878.2412
2,114,3427.2462
2,115,5879.3715
2,116,5571.0175
2,117,13710.0707
2,118,11771.5033
2,119,6539.4362
2,120,2053.2073
2,121,1257.2456
2,122,2532.0956
2,123,1633.9704
2,124,2742.0992
2,125,1648.0493
2,126,1217.2081
2,127,1568.1889
2,128,1413.6557
2,129,1749.2089
2,130,903.2413
2,131,769.2665
2,132,1240.1819
2,133,1084.2071
2,134,1239.2159
2,135,4786.8107
2,136,12762.7419
2,137,7267.7982
2,138,5894.7854
2,139,12359.5836
2,140,7117.0328
2,141,1377.5825
2,142,1858.8593
2,143,1255.8404
2,144,1476.714
2,145,6165.4637
2,146,1675.7091
2,147,8746.1614
2,148,1909.6702
2,149,11824.6226
2,150,18746.7107
2,151,4777.4413
2,152,3253.7015
2,153,18501.3382
2,154,8828.4563
2,155,3372.8772
2,156,806.1603
2,157,1836.6972
2,158,1483.176
2,159,1247.3769
2,160,1174.8788
2,161,3597.465
2,162,3370.4216
2,163,2803.0801
